num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.054,0.054,0.004,0.054,0.054,0.184,0.190,0.021,0.190,0.191,0.483,0.493,0.046,0.492,0.494,0.587,0.598,0.053,0.597,0.599,3.18,3.63,4.01,4.21,1.861,1.836,1.841,0.543,0.524,0.527,0.207,0.203,0.203,0.170,0.167,0.1676032647565413,100000
2,0.103,0.106,0.011,0.105,0.106,0.212,0.216,0.022,0.215,0.216,0.505,0.516,0.052,0.515,0.517,1.201,1.217,0.078,1.215,1.218,3.19,3.54,4.01,4.35,1.936,1.891,1.899,0.945,0.926,0.930,0.396,0.387,0.388,0.166,0.164,0.16459688267435452,200000
4,0.208,0.209,0.008,0.209,0.210,0.212,0.217,0.023,0.216,0.217,0.500,0.511,0.055,0.510,0.512,2.414,2.464,0.193,2.460,2.468,3.20,3.55,4.01,4.35,1.921,1.909,1.912,1.891,1.841,1.849,0.800,0.781,0.785,0.166,0.162,0.16258130875853619,400000
8,0.424,0.434,0.050,0.433,0.435,0.427,0.431,0.029,0.431,0.432,0.499,0.500,0.007,0.500,0.500,4.793,4.835,0.183,4.831,4.839,3.18,3.49,4.00,4.36,1.886,1.837,1.846,1.873,1.853,1.858,1.605,1.601,1.602,0.167,0.165,0.16558422904745182,800000
16,0.851,0.870,0.079,0.868,0.871,0.865,0.883,0.082,0.881,0.885,0.508,0.519,0.054,0.518,0.520,9.736,9.881,0.386,9.874,9.889,3.18,3.46,4.00,4.36,1.880,1.836,1.843,1.849,1.809,1.815,3.150,3.078,3.090,0.164,0.162,0.1620449882901295,1600000
32,1.737,1.775,0.157,1.771,1.778,1.757,1.794,0.156,1.791,1.797,0.657,0.658,0.011,0.658,0.658,19.084,19.094,0.100,19.092,19.096,3.14,3.47,5.08,4.36,1.842,1.800,1.806,1.821,1.781,1.787,4.871,4.862,4.865,0.168,0.168,0.16760722319747326,3200000
48,2.581,2.583,0.022,2.582,2.583,2.623,2.627,0.029,2.626,2.627,0.845,0.847,0.013,0.846,0.847,28.630,28.641,0.094,28.640,28.643,3.13,3.44,5.16,4.36,1.860,1.858,1.859,1.830,1.827,1.828,5.678,5.667,5.670,0.168,0.168,0.16760064574386396,4800000
64,3.327,3.331,0.053,3.330,3.332,3.403,3.405,0.019,3.405,3.405,1.046,1.047,0.017,1.047,1.048,37.870,38.064,0.954,38.045,38.083,3.16,3.43,5.38,4.36,1.923,1.921,1.922,1.881,1.879,1.880,6.120,6.110,6.114,0.169,0.168,0.16822050580248155,6400000
96,5.118,5.120,0.030,5.119,5.120,5.221,5.224,0.031,5.224,5.225,1.578,1.584,0.026,1.584,1.585,57.359,57.380,0.158,57.377,57.383,3.16,3.43,5.06,4.36,1.876,1.875,1.875,1.839,1.837,1.838,6.084,6.058,6.062,0.167,0.167,0.167315156568452,9600000
