num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
128,2000,23,3,0.180,0.181,0.009,0.180,0.181,0,0.059,0.058,0.002,0.058,0.058,0,1.902,1.905,0.040,1.902,1.909,0,3.59,4.22,5.29,1.425,1.416,1.420,4.351,4.400,4.405,0.135,0.134,0.135,256000
128,2000,23,4,0.183,0.184,0.009,0.184,0.184,0,0.103,0.101,0.009,0.100,0.101,0,1.902,1.904,0.039,1.900,1.907,0,3.61,4.19,5.29,1.398,1.388,1.392,2.489,2.540,2.549,0.135,0.134,0.135,256000
128,4000,23,0,0.213,0.215,0.011,0.214,0.215,0,0.070,0.068,0.007,0.068,0.068,0,3.075,3.082,0.052,3.077,3.088,0,3.66,4.21,5.66,2.399,2.382,2.389,7.322,7.537,7.562,0.167,0.166,0.166,512000
128,4000,23,3,0.324,0.326,0.012,0.325,0.326,0,0.114,0.114,0.003,0.114,0.114,0,3.066,3.072,0.047,3.067,3.077,0,3.50,4.26,5.67,1.580,1.570,1.574,4.491,4.501,4.506,0.167,0.166,0.167,512000
128,4000,23,4,0.326,0.327,0.014,0.327,0.327,1,0.208,0.208,0.011,0.208,0.208,1,3.060,3.068,0.052,3.063,3.074,1,3.59,4.11,5.66,1.573,1.563,1.568,2.463,2.457,2.464,0.167,0.167,0.167,512000
128,8000,23,0,0.387,0.389,0.014,0.388,0.389,0,0.137,0.136,0.009,0.136,0.136,0,5.419,5.429,0.066,5.419,5.438,0,3.61,4.17,5.93,2.646,2.630,2.638,7.493,7.512,7.536,0.189,0.188,0.189,1024000
128,8000,23,3,0.602,0.604,0.018,0.603,0.605,0,0.220,0.221,0.010,0.220,0.221,0,5.388,5.405,0.065,5.395,5.414,0,3.42,4.34,5.94,1.702,1.692,1.697,4.659,4.635,4.648,0.190,0.189,0.190,1024000
128,8000,23,4,0.593,0.596,0.017,0.595,0.596,0,0.407,0.408,0.014,0.407,0.408,0,5.398,5.409,0.066,5.399,5.418,0,3.56,4.14,5.95,1.727,1.717,1.722,2.515,2.507,2.515,0.190,0.189,0.190,1024000
128,10000,23,0,0.478,0.480,0.018,0.479,0.481,0,0.173,0.173,0.002,0.173,0.173,0,6.553,6.569,0.060,6.560,6.579,0,3.61,4.14,6.01,2.680,2.664,2.673,7.400,7.396,7.400,0.195,0.195,0.195,1280000
128,10000,23,3,0.745,0.748,0.006,0.748,0.748,0,0.272,0.272,0.012,0.272,0.273,0,6.558,6.570,0.074,6.558,6.582,0,3.42,4.21,6.01,1.718,1.711,1.712,4.714,4.693,4.707,0.195,0.194,0.195,1280000
128,10000,23,4,0.737,0.740,0.020,0.738,0.741,0,0.521,0.522,0.017,0.521,0.523,0,6.554,6.566,0.053,6.557,6.574,0,3.55,4.08,6.01,1.738,1.728,1.733,2.457,2.449,2.456,0.195,0.195,0.195,1280000
