query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
20,50,1,0,0,1,1000,Dna,dna,withoutrc,892,2326,230,987
20,100,1,0,0,1,1000,Dna,dna,withoutrc,1179,2598,294,748
20,150,1,0,0,1,1000,Dna,dna,withoutrc,1462,2724,312,692
20,250,1,0,0,1,1000,Dna,dna,withoutrc,2072,2806,327,948
20,500,1,0,0,1,1000,Dna,dna,withoutrc,3418,2824,447,665
20,1000,1,0,0,1,1000,Dna,dna,withoutrc,6155,2894,696,648
20,2000,1,0,0,1,1000,Dna,dna,withoutrc,11717,3122,1130,552
20,4000,1,0,0,1,1000,Dna,dna,withoutrc,23090,3607,2031,620
20,8000,1,0,0,1,1000,Dna,dna,withoutrc,46731,4674,3797,756
20,16000,1,0,0,1,1000,Dna,dna,withoutrc,90218,6186,7257,755
20,32000,1,0,0,1,1000,Dna,dna,withoutrc,180482,9839,14316,770
20,64000,1,0,0,1,1000,Dna,dna,withoutrc,361136,16850,28086,739
20,100000,1,0,0,1,1000,Dna,dna,withoutrc,560085,56330,43525,662
20,128000,1,0,0,1,1000,Dna,dna,withoutrc,717681,80811,55624,823
30,50,2,0,0,2,1000,Dna,dna,withoutrc,909,2800,250,1277
30,100,2,0,0,2,1000,Dna,dna,withoutrc,1311,3279,297,941
30,150,2,0,0,2,1000,Dna,dna,withoutrc,1583,3345,315,691
30,250,2,0,0,2,1000,Dna,dna,withoutrc,2047,3202,334,1142
30,500,2,0,0,2,1000,Dna,dna,withoutrc,3404,3233,467,801
30,1000,2,0,0,2,1000,Dna,dna,withoutrc,6131,3325,729,759
30,2000,2,0,0,2,1000,Dna,dna,withoutrc,11707,3548,1207,698
30,4000,2,0,0,2,1000,Dna,dna,withoutrc,22811,4006,2242,715
30,8000,2,0,0,2,1000,Dna,dna,withoutrc,45061,4905,4089,810
30,16000,2,0,0,2,1000,Dna,dna,withoutrc,89718,6633,8037,876
30,32000,2,0,0,2,1000,Dna,dna,withoutrc,179033,10241,15771,837
30,64000,2,0,0,2,1000,Dna,dna,withoutrc,357558,18659,31371,864
30,100000,2,0,0,2,1000,Dna,dna,withoutrc,564134,54538,49279,565
30,128000,2,0,0,2,1000,Dna,dna,withoutrc,721471,77874,62594,717
50,100,3,0,0,3,1000,Dna,dna,withoutrc,1249,3707,335,1032
50,150,3,0,0,3,1000,Dna,dna,withoutrc,1521,3787,376,1084
50,250,3,0,0,3,1000,Dna,dna,withoutrc,2087,3830,424,1562
50,500,3,0,0,3,1000,Dna,dna,withoutrc,3494,3910,585,1168
50,1000,3,0,0,3,1000,Dna,dna,withoutrc,6203,3976,885,1120
50,2000,3,0,0,3,1000,Dna,dna,withoutrc,11759,4183,1481,1120
50,4000,3,0,0,3,1000,Dna,dna,withoutrc,22835,4634,2723,1113
50,8000,3,0,0,3,1000,Dna,dna,withoutrc,45230,5528,5018,1132
