query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
100,150,20,0,0,20,1000,Dna,dna,withoutrc,1877,7003,959,2310
100,250,20,0,0,20,1000,Dna,dna,withoutrc,2419,7173,1009,2395
100,500,20,0,0,20,1000,Dna,dna,withoutrc,3843,7244,1309,2585
100,1000,20,0,0,20,1000,Dna,dna,withoutrc,6562,7297,1838,2113
100,2000,20,0,0,20,1000,Dna,dna,withoutrc,12213,7463,2941,2253
100,4000,20,0,0,20,1000,Dna,dna,withoutrc,23580,7941,5214,2073
100,8000,20,0,0,20,1000,Dna,dna,withoutrc,45864,8870,9816,2144
100,16000,20,0,0,20,1000,Dna,dna,withoutrc,91686,10858,18888,2061
100,32000,20,0,0,20,1000,Dna,dna,withoutrc,184540,14693,36805,2171
100,64000,20,0,0,20,1000,Dna,dna,withoutrc,371184,21851,74745,2061
100,100000,20,0,0,20,1000,Dna,dna,withoutrc,576942,65160,116288,1966
100,128000,20,0,0,20,1000,Dna,dna,withoutrc,740554,89183,145038,2177
200,250,20,0,0,20,1000,Dna,dna,withoutrc,3485,13772,1042,6157
200,500,20,0,0,20,1000,Dna,dna,withoutrc,4644,13368,1351,5869
200,1000,20,0,0,20,1000,Dna,dna,withoutrc,7320,13322,1918,5917
200,2000,20,0,0,20,1000,Dna,dna,withoutrc,12697,13313,2995,6142
200,4000,20,0,0,20,1000,Dna,dna,withoutrc,23689,13734,5198,5995
200,8000,20,0,0,20,1000,Dna,dna,withoutrc,46080,14675,9553,6032
200,16000,20,0,0,20,1000,Dna,dna,withoutrc,90523,16486,18239,6461
200,32000,20,0,0,20,1000,Dna,dna,withoutrc,181204,20403,36410,5969
200,64000,20,0,0,20,1000,Dna,dna,withoutrc,373311,28176,72782,5961
200,100000,20,0,0,20,1000,Dna,dna,withoutrc,565603,68917,108509,6007
200,128000,20,0,0,20,1000,Dna,dna,withoutrc,719183,94680,138897,5963
300,500,20,0,0,20,1000,Dna,dna,withoutrc,5110,18946,1432,11850
300,1000,20,0,0,20,1000,Dna,dna,withoutrc,7871,19041,1994,11637
300,2000,20,0,0,20,1000,Dna,dna,withoutrc,13454,19198,3126,11367
300,4000,20,0,0,20,1000,Dna,dna,withoutrc,24249,19383,5315,10801
300,8000,20,0,0,20,1000,Dna,dna,withoutrc,46470,20367,9368,10509
300,16000,20,0,0,20,1000,Dna,dna,withoutrc,90568,22062,18264,11114
300,32000,20,0,0,20,1000,Dna,dna,withoutrc,179006,25688,35323,11222
300,64000,20,0,0,20,1000,Dna,dna,withoutrc,360690,32809,70332,11316
300,100000,20,0,0,20,1000,Dna,dna,withoutrc,563833,73772,112803,10725
300,128000,20,0,0,20,1000,Dna,dna,withoutrc,708166,96882,138771,11134
500,1000,20,0,0,20,1000,Dna,dna,withoutrc,9208,32365,1823,28807
500,2000,20,0,0,20,1000,Dna,dna,withoutrc,15199,33485,2903,28619
500,4000,20,0,0,20,1000,Dna,dna,withoutrc,25600,32806,5082,27119
500,8000,20,0,0,20,1000,Dna,dna,withoutrc,47708,33682,9129,26554
500,16000,20,0,0,20,1000,Dna,dna,withoutrc,91707,35268,17867,27748
500,32000,20,0,0,20,1000,Dna,dna,withoutrc,179753,39783,34852,27991
500,64000,20,0,0,20,1000,Dna,dna,withoutrc,356707,54330,70354,28022
500,100000,20,0,0,20,1000,Dna,dna,withoutrc,554946,85343,111369,27513
500,128000,20,0,0,20,1000,Dna,dna,withoutrc,712533,110718,137335,28008
1000,2000,20,0,0,20,1000,Dna,dna,withoutrc,19666,78524,2706,93603
1000,4000,20,0,0,20,1000,Dna,dna,withoutrc,30715,78979,4827,91798
1000,8000,20,0,0,20,1000,Dna,dna,withoutrc,51833,77866,9248,93773
1000,16000,20,0,0,20,1000,Dna,dna,withoutrc,95908,79303,17870,93281
1000,32000,20,0,0,20,1000,Dna,dna,withoutrc,184125,82989,34553,88182
1000,64000,20,0,0,20,1000,Dna,dna,withoutrc,359753,89845,68790,90174
1000,100000,20,0,0,20,1000,Dna,dna,withoutrc,556644,98017,107784,92190
1000,128000,20,0,0,20,1000,Dna,dna,withoutrc,713123,104605,141565,92389
