query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,1000,0,sassy_search,0.086,0.086,0.001,0.086,0.087,1.489,1.479,1.486,128000
23,1000,0,sassy_patterns,0.063,0.063,0.002,0.063,0.064,2.028,2.006,2.028,128000
23,1000,0,sassy_tiling,0.013,0.013,0.000,0.013,0.013,9.884,9.760,9.907,128000
23,1000,0,edlib,1.590,1.597,0.020,1.594,1.601,0.081,0.080,0.080,128000
23,1000,3,sassy_search,0.114,0.114,0.002,0.114,0.115,1.126,1.115,1.123,128000
23,1000,3,sassy_patterns,0.088,0.089,0.001,0.088,0.089,1.450,1.440,1.447,128000
23,1000,3,sassy_tiling,0.023,0.023,0.002,0.023,0.024,5.547,5.397,5.549,128000
23,1000,3,edlib,1.592,1.600,0.020,1.596,1.604,0.080,0.080,0.080,128000
23,1000,4,sassy_search,0.117,0.118,0.002,0.118,0.118,1.090,1.081,1.088,128000
23,1000,4,sassy_patterns,0.093,0.094,0.001,0.093,0.094,1.373,1.365,1.370,128000
23,1000,4,sassy_tiling,0.041,0.041,0.002,0.041,0.042,3.108,3.069,3.113,128000
23,1000,4,edlib,1.592,1.611,0.027,1.606,1.617,0.080,0.079,0.080,128000
23,10000,0,sassy_search,0.524,0.525,0.003,0.524,0.525,2.443,2.437,2.443,1280000
23,10000,0,sassy_patterns,0.524,0.524,0.005,0.523,0.525,2.443,2.436,2.446,1280000
23,10000,0,sassy_tiling,0.139,0.139,0.002,0.139,0.140,9.229,9.172,9.233,1280000
23,10000,0,edlib,7.984,8.026,0.079,8.011,8.041,0.160,0.159,0.160,1280000
23,10000,3,sassy_search,0.807,0.809,0.005,0.808,0.810,1.585,1.580,1.584,1280000
23,10000,3,sassy_patterns,0.776,0.778,0.012,0.775,0.780,1.650,1.641,1.651,1280000
23,10000,3,sassy_tiling,0.227,0.228,0.003,0.227,0.228,5.650,5.602,5.632,1280000
23,10000,3,edlib,8.035,8.036,0.018,8.032,8.040,0.159,0.159,0.159,1280000
23,10000,4,sassy_search,0.806,0.807,0.011,0.805,0.810,1.589,1.581,1.590,1280000
23,10000,4,sassy_patterns,0.821,0.822,0.003,0.821,0.822,1.559,1.557,1.559,1280000
23,10000,4,sassy_tiling,0.411,0.412,0.002,0.411,0.412,3.114,3.105,3.111,1280000
23,10000,4,edlib,8.004,8.048,0.117,8.025,8.071,0.160,0.159,0.159,1280000
