query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,50,0,sassy_search,0.038,0.038,0.001,0.038,0.038,0.170,0.168,0.170,6400
23,50,0,sassy_patterns,0.017,0.018,0.004,0.017,0.018,0.373,0.347,0.380,6400
23,50,0,sassy_tiling,0.001,0.001,0.000,0.001,0.001,9.130,9.093,9.126,6400
23,50,0,edlib,1.131,1.131,0.002,1.131,1.132,0.006,0.006,0.006,6400
23,50,3,sassy_search,0.040,0.040,0.001,0.040,0.041,0.159,0.158,0.159,6400
23,50,3,sassy_patterns,0.018,0.018,0.000,0.018,0.018,0.355,0.352,0.356,6400
23,50,3,sassy_tiling,0.001,0.001,0.000,0.001,0.001,5.465,5.478,5.487,6400
23,50,3,edlib,1.131,1.131,0.002,1.131,1.132,0.006,0.006,0.006,6400
23,50,4,sassy_search,0.042,0.042,0.001,0.042,0.043,0.152,0.150,0.151,6400
23,50,4,sassy_patterns,0.019,0.019,0.001,0.019,0.019,0.345,0.341,0.345,6400
23,50,4,sassy_tiling,0.002,0.002,0.000,0.002,0.002,3.013,2.819,3.074,6400
23,50,4,edlib,0.918,0.918,0.001,0.918,0.918,0.007,0.007,0.007,6400
23,100,0,sassy_search,0.046,0.046,0.001,0.046,0.046,0.279,0.277,0.279,12800
23,100,0,sassy_patterns,0.020,0.020,0.001,0.020,0.020,0.640,0.633,0.641,12800
23,100,0,sassy_tiling,0.001,0.001,0.000,0.001,0.001,9.467,8.673,9.758,12800
23,100,0,edlib,0.954,0.954,0.001,0.954,0.954,0.013,0.013,0.013,12800
23,100,3,sassy_search,0.050,0.050,0.001,0.050,0.051,0.255,0.253,0.255,12800
23,100,3,sassy_patterns,0.023,0.023,0.001,0.023,0.023,0.563,0.558,0.563,12800
23,100,3,sassy_tiling,0.002,0.002,0.000,0.002,0.002,5.417,5.422,5.428,12800
23,100,3,edlib,0.954,0.954,0.001,0.954,0.954,0.013,0.013,0.013,12800
23,100,4,sassy_search,0.057,0.057,0.001,0.057,0.057,0.225,0.224,0.225,12800
23,100,4,sassy_patterns,0.023,0.023,0.001,0.023,0.024,0.549,0.544,0.549,12800
23,100,4,sassy_tiling,0.004,0.004,0.001,0.004,0.004,3.043,2.934,3.076,12800
23,100,4,edlib,0.955,0.956,0.002,0.955,0.956,0.013,0.013,0.013,12800
23,250,0,sassy_search,0.047,0.047,0.001,0.047,0.048,0.679,0.674,0.679,32000
23,250,0,sassy_patterns,0.026,0.026,0.001,0.026,0.026,1.229,1.221,1.231,32000
23,250,0,sassy_tiling,0.003,0.003,0.000,0.003,0.003,9.892,9.554,9.984,32000
23,250,0,edlib,1.058,1.059,0.007,1.058,1.061,0.030,0.030,0.030,32000
23,250,3,sassy_search,0.057,0.057,0.001,0.057,0.057,0.564,0.561,0.564,32000
23,250,3,sassy_patterns,0.032,0.033,0.001,0.032,0.033,0.987,0.980,0.988,32000
23,250,3,sassy_tiling,0.006,0.006,0.002,0.006,0.007,5.342,4.912,5.491,32000
23,250,3,edlib,1.071,1.066,0.007,1.065,1.067,0.030,0.030,0.030,32000
23,250,4,sassy_search,0.060,0.060,0.001,0.060,0.060,0.534,0.530,0.533,32000
23,250,4,sassy_patterns,0.032,0.033,0.001,0.032,0.033,0.985,0.975,0.985,32000
23,250,4,sassy_tiling,0.010,0.011,0.002,0.010,0.011,3.072,2.933,3.125,32000
23,250,4,edlib,1.070,1.066,0.006,1.065,1.067,0.030,0.030,0.030,32000
23,500,0,sassy_search,0.059,0.060,0.001,0.059,0.060,1.081,1.071,1.079,64000
23,500,0,sassy_patterns,0.038,0.038,0.001,0.038,0.039,1.669,1.657,1.668,64000
23,500,0,sassy_tiling,0.007,0.007,0.000,0.007,0.007,8.900,8.890,8.935,64000
23,500,0,edlib,1.241,1.248,0.014,1.245,1.251,0.052,0.051,0.051,64000
23,500,3,sassy_search,0.077,0.078,0.001,0.078,0.078,0.826,0.819,0.825,64000
23,500,3,sassy_patterns,0.051,0.052,0.002,0.051,0.052,1.248,1.231,1.248,64000
23,500,3,sassy_tiling,0.012,0.012,0.000,0.012,0.012,5.375,5.323,5.388,64000
23,500,3,edlib,1.235,1.236,0.002,1.236,1.236,0.052,0.052,0.052,64000
23,500,4,sassy_search,0.080,0.081,0.001,0.081,0.081,0.796,0.789,0.794,64000
23,500,4,sassy_patterns,0.052,0.053,0.002,0.052,0.053,1.221,1.206,1.222,64000
23,500,4,sassy_tiling,0.021,0.021,0.001,0.021,0.021,3.096,3.055,3.100,64000
23,500,4,edlib,1.236,1.236,0.003,1.236,1.237,0.052,0.052,0.052,64000
