num_queries,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,patterns_median_ms,patterns_mean_ms,patterns_std_ms,patterns_ci_lower_ms,patterns_ci_upper_ms,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,search_ipc,patterns_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,patterns_throughput_gbps,patterns_ci_lower_throughput_gbps,patterns_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,0.057,0.057,0.004,0.057,0.058,0.201,0.203,0.005,0.202,0.203,0.596,0.597,0.003,0.596,0.597,0.563,0.571,0.017,0.568,0.575,3.53,3.95,3.90,5.48,1.764,1.715,1.765,0.498,0.491,0.496,0.168,0.167,0.168,0.178,0.174,0.1761205018683183,100000
2,0.115,0.116,0.002,0.116,0.117,0.212,0.212,0.003,0.211,0.213,0.596,0.596,0.004,0.595,0.596,1.121,1.122,0.004,1.122,1.123,3.60,3.94,3.90,5.49,1.732,1.716,1.730,0.944,0.940,0.946,0.336,0.335,0.336,0.178,0.178,0.17829144673851494,200000
4,0.227,0.228,0.002,0.227,0.228,0.225,0.226,0.003,0.226,0.227,0.597,0.597,0.003,0.597,0.598,2.256,2.268,0.029,2.262,2.274,3.59,3.85,3.89,5.48,1.764,1.754,1.761,1.775,1.763,1.772,0.670,0.669,0.670,0.177,0.176,0.17680303456999422,400000
8,0.455,0.455,0.004,0.455,0.456,0.458,0.459,0.004,0.458,0.460,0.596,0.597,0.003,0.596,0.597,4.541,4.545,0.045,4.536,4.554,3.57,3.82,3.89,5.46,1.758,1.754,1.759,1.745,1.740,1.745,1.342,1.339,1.342,0.176,0.176,0.17636439039222224,800000
16,0.959,0.960,0.004,0.960,0.961,0.968,0.968,0.003,0.967,0.969,0.617,0.617,0.003,0.616,0.617,9.069,9.070,0.050,9.060,9.080,3.42,3.59,3.89,5.46,1.668,1.665,1.667,1.654,1.652,1.654,2.595,2.592,2.596,0.176,0.176,0.1765998852386482,1600000
32,1.960,1.962,0.012,1.960,1.965,1.983,1.983,0.006,1.982,1.984,0.699,0.700,0.012,0.697,0.702,18.137,18.135,0.066,18.122,18.148,3.35,3.50,5.39,5.46,1.633,1.629,1.633,1.614,1.613,1.615,4.580,4.560,4.589,0.176,0.176,0.1765787515456838,3200000
48,2.950,2.953,0.013,2.950,2.956,2.946,2.946,0.006,2.945,2.947,0.934,0.935,0.008,0.933,0.936,27.182,27.201,0.134,27.174,27.227,3.34,3.52,5.22,5.47,1.627,1.624,1.627,1.629,1.629,1.630,5.142,5.128,5.144,0.177,0.176,0.17663670995394296,4800000
64,3.943,3.944,0.014,3.941,3.947,3.972,3.974,0.007,3.972,3.975,1.172,1.173,0.005,1.172,1.173,36.261,36.254,0.116,36.231,36.276,3.33,3.51,5.66,5.47,1.623,1.622,1.624,1.611,1.610,1.611,5.459,5.454,5.462,0.176,0.176,0.17664447445643633,6400000
96,5.903,5.903,0.013,5.901,5.906,5.940,5.943,0.014,5.940,5.945,1.699,1.701,0.009,1.700,1.703,54.431,54.442,0.177,54.407,54.477,3.33,3.53,5.59,5.47,1.626,1.625,1.627,1.616,1.615,1.616,5.651,5.637,5.648,0.176,0.176,0.1764462784367012,9600000
128,7.936,7.935,0.014,7.933,7.938,7.978,7.979,0.016,7.976,7.982,2.279,2.285,0.017,2.282,2.288,72.561,72.573,0.182,72.538,72.609,3.32,3.52,5.43,5.46,1.613,1.612,1.614,1.604,1.604,1.605,5.616,5.594,5.610,0.176,0.176,0.17645960204092906,12800000
