query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,1000,4,sassy_search,0.108,0.108,0.002,0.108,0.109,1.184,1.175,1.185,128000
23,1000,4,sassy_patterns,0.074,0.075,0.001,0.074,0.075,1.727,1.712,1.720,128000
23,1000,4,sassy_tiling,0.024,0.024,0.000,0.024,0.024,5.384,5.317,5.357,128000
23,1000,4,edlib,1.331,1.337,0.022,1.332,1.341,0.096,0.095,0.096,128000
23,10000,0,sassy_search,0.440,0.442,0.005,0.441,0.443,2.912,2.887,2.900,1280000
23,10000,0,sassy_patterns,0.415,0.418,0.005,0.417,0.419,3.085,3.056,3.071,1280000
23,10000,0,sassy_tiling,0.130,0.131,0.001,0.130,0.131,9.819,9.774,9.814,1280000
23,10000,0,edlib,6.527,6.547,0.063,6.535,6.559,0.196,0.195,0.196,1280000
23,10000,3,sassy_search,0.682,0.686,0.007,0.685,0.688,1.875,1.861,1.868,1280000
23,10000,3,sassy_patterns,0.646,0.650,0.008,0.649,0.652,1.981,1.963,1.973,1280000
23,10000,3,sassy_tiling,0.144,0.145,0.002,0.145,0.145,8.868,8.800,8.852,1280000
23,10000,3,edlib,6.534,6.552,0.067,6.539,6.565,0.196,0.195,0.196,1280000
23,10000,4,sassy_search,0.668,0.672,0.007,0.671,0.673,1.915,1.901,1.909,1280000
23,10000,4,sassy_patterns,0.636,0.639,0.006,0.638,0.641,2.013,1.998,2.006,1280000
23,10000,4,sassy_tiling,0.237,0.237,0.001,0.237,0.237,5.399,5.397,5.407,1280000
23,10000,4,edlib,6.523,6.548,0.065,6.535,6.561,0.196,0.195,0.196,1280000
