num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
96,334294335,24,3,1257.460,1257.460,0.000,1257.460,1257.460,70493,274.860,278.454,8.047,270.568,286.340,70493,12472.039,12472.039,0.000,12472.039,12472.039,72184,0.00,0.00,0.00,25.521,25.521,25.521,116.758,112.077,118.611,2.573,2.573,2.573,334294335
96,334294335,24,4,1261.221,1261.221,0.000,1261.221,1261.221,77714,547.048,539.732,7.316,529.592,549.872,77714,12537.728,12537.728,0.000,12537.728,12537.728,79701,0.00,0.00,0.00,25.445,25.445,25.445,58.664,58.363,60.598,2.560,2.560,2.560,334294335
