num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
128,50,23,0,0.038,0.038,0.001,0.038,0.038,0,0.001,0.001,0.001,0.001,0.001,0,0.776,0.783,0.023,0.782,0.785,0,3.27,2.80,3.73,0.169,0.168,0.168,4.429,4.395,4.406,0.008,0.008,0.008,6400
128,50,23,3,0.039,0.040,0.001,0.040,0.040,0,0.002,0.002,0.001,0.002,0.002,0,0.776,0.783,0.023,0.782,0.785,0,3.32,2.93,3.73,0.162,0.161,0.161,3.736,3.714,3.723,0.008,0.008,0.008,6400
128,50,23,4,0.042,0.042,0.004,0.042,0.042,0,0.002,0.002,0.001,0.002,0.002,0,0.776,0.783,0.022,0.782,0.784,0,3.38,3.06,3.73,0.153,0.152,0.152,3.117,3.100,3.108,0.008,0.008,0.008,6400
128,100,23,0,0.046,0.046,0.004,0.046,0.046,0,0.002,0.002,0.000,0.002,0.002,0,0.805,0.812,0.024,0.811,0.813,0,3.50,2.89,3.82,0.277,0.276,0.277,6.262,6.217,6.223,0.016,0.016,0.016,12800
128,100,23,3,0.050,0.050,0.005,0.050,0.050,0,0.002,0.002,0.001,0.002,0.002,0,0.805,0.812,0.022,0.811,0.813,0,3.57,3.06,3.82,0.257,0.256,0.257,5.207,5.181,5.194,0.016,0.016,0.016,12800
128,100,23,4,0.055,0.055,0.004,0.055,0.055,0,0.003,0.003,0.001,0.003,0.003,0,0.807,0.812,0.013,0.812,0.813,0,3.61,3.28,3.82,0.235,0.234,0.235,3.836,3.814,3.823,0.016,0.016,0.016,12800
128,150,23,0,0.046,0.047,0.004,0.046,0.047,0,0.002,0.003,0.001,0.003,0.003,0,0.836,0.842,0.026,0.841,0.843,0,3.54,3.03,3.91,0.414,0.412,0.413,7.686,7.648,7.670,0.023,0.023,0.023,19200
128,150,23,3,0.052,0.052,0.005,0.052,0.052,0,0.004,0.004,0.001,0.004,0.004,0,0.835,0.842,0.024,0.840,0.843,0,3.55,3.00,3.90,0.368,0.367,0.368,4.895,4.868,4.881,0.023,0.023,0.023,19200
128,150,23,4,0.066,0.066,0.005,0.066,0.066,0,0.005,0.005,0.001,0.005,0.005,0,0.835,0.843,0.023,0.841,0.844,0,3.11,3.42,3.91,0.290,0.290,0.290,4.103,4.078,4.088,0.023,0.023,0.023,19200
128,250,23,0,0.047,0.047,0.004,0.047,0.047,0,0.004,0.004,0.001,0.004,0.004,0,0.893,0.900,0.024,0.898,0.901,0,3.49,3.17,4.06,0.682,0.679,0.681,8.999,8.954,8.979,0.036,0.036,0.036,32000
128,250,23,3,0.057,0.057,0.005,0.057,0.057,0,0.004,0.004,0.002,0.004,0.005,0,0.894,0.901,0.023,0.900,0.902,0,3.49,3.43,4.06,0.563,0.560,0.561,7.141,7.101,7.122,0.036,0.035,0.036,32000
128,250,23,4,0.058,0.058,0.005,0.058,0.058,0,0.007,0.008,0.002,0.007,0.008,0,0.892,0.901,0.025,0.899,0.902,0,3.53,3.51,4.06,0.553,0.550,0.551,4.286,4.256,4.267,0.036,0.035,0.036,32000
128,500,23,0,0.055,0.055,0.005,0.055,0.056,0,0.007,0.007,0.002,0.007,0.007,0,1.038,1.046,0.017,1.045,1.047,0,3.58,3.17,4.37,1.163,1.153,1.155,8.764,8.722,8.745,0.062,0.061,0.061,64000
128,500,23,3,0.071,0.071,0.001,0.071,0.071,0,0.010,0.010,0.002,0.010,0.010,0,1.039,1.046,0.025,1.045,1.048,0,3.54,3.42,4.37,0.902,0.897,0.897,6.656,6.621,6.636,0.062,0.061,0.061,64000
128,500,23,4,0.071,0.072,0.005,0.072,0.072,0,0.014,0.014,0.000,0.014,0.014,0,1.040,1.046,0.026,1.045,1.048,0,3.66,3.70,4.37,0.899,0.892,0.894,4.607,4.582,4.584,0.062,0.061,0.061,64000
128,1000,23,0,0.076,0.077,0.006,0.077,0.077,0,0.012,0.012,0.002,0.012,0.012,0,1.329,1.337,0.032,1.335,1.339,0,3.56,3.42,4.79,1.680,1.665,1.670,10.657,10.599,10.627,0.096,0.096,0.096,128000
128,1000,23,3,0.105,0.106,0.007,0.106,0.106,0,0.017,0.017,0.002,0.017,0.017,0,1.330,1.338,0.033,1.336,1.341,0,3.51,3.67,4.79,1.224,1.210,1.213,7.574,7.530,7.548,0.096,0.095,0.096,128000
128,1000,23,4,0.103,0.104,0.008,0.104,0.104,0,0.028,0.028,0.004,0.028,0.028,0,1.335,1.341,0.033,1.339,1.343,0,3.61,3.75,4.78,1.241,1.229,1.232,4.624,4.593,4.605,0.096,0.095,0.096,128000
128,2000,23,0,0.119,0.120,0.007,0.120,0.120,0,0.023,0.023,0.003,0.023,0.023,0,1.920,1.923,0.043,1.919,1.927,0,3.52,3.59,5.27,2.149,2.130,2.135,11.030,10.972,10.998,0.133,0.133,0.133,256000
128,2000,23,3,0.170,0.172,0.009,0.172,0.172,0,0.032,0.032,0.004,0.032,0.032,0,1.915,1.919,0.041,1.915,1.922,0,3.46,3.75,5.26,1.502,1.488,1.492,8.055,8.010,8.033,0.134,0.133,0.134,256000
128,2000,23,4,0.168,0.170,0.003,0.170,0.170,0,0.056,0.056,0.004,0.056,0.056,0,1.920,1.922,0.042,1.919,1.926,0,3.59,3.73,5.26,1.519,1.507,1.509,4.607,4.579,4.590,0.133,0.133,0.133,256000
128,4000,23,0,0.203,0.205,0.010,0.205,0.205,0,0.045,0.045,0.004,0.045,0.045,0,3.071,3.087,0.060,3.081,3.094,0,3.53,3.60,5.68,2.521,2.495,2.502,11.373,11.319,11.345,0.167,0.165,0.166,512000
128,4000,23,3,0.305,0.307,0.013,0.307,0.307,0,0.062,0.062,0.005,0.062,0.062,0,3.070,3.088,0.060,3.082,3.094,0,3.39,3.85,5.68,1.680,1.666,1.670,8.317,8.274,8.296,0.167,0.165,0.166,512000
128,4000,23,4,0.298,0.300,0.013,0.300,0.301,0,0.109,0.109,0.007,0.109,0.109,0,3.074,3.090,0.060,3.083,3.096,0,3.57,3.81,5.67,1.718,1.704,1.709,4.709,4.693,4.705,0.167,0.165,0.166,512000
128,8000,23,0,0.363,0.365,0.013,0.365,0.366,0,0.087,0.087,0.006,0.087,0.088,0,5.394,5.412,0.080,5.401,5.424,0,3.51,3.67,5.98,2.824,2.801,2.808,11.752,11.701,11.731,0.190,0.189,0.190,1024000
128,8000,23,3,0.560,0.564,0.017,0.563,0.564,0,0.119,0.120,0.007,0.120,0.120,0,5.396,5.426,0.087,5.413,5.438,0,3.37,3.93,5.95,1.830,1.814,1.820,8.579,8.534,8.556,0.190,0.188,0.189,1024000
128,8000,23,4,0.546,0.550,0.017,0.549,0.551,0,0.218,0.219,0.002,0.219,0.219,0,5.411,5.431,0.079,5.420,5.443,0,3.53,3.89,5.97,1.875,1.858,1.864,4.693,4.678,4.681,0.189,0.188,0.189,1024000
128,10000,23,0,0.448,0.451,0.016,0.451,0.452,0,0.114,0.114,0.007,0.114,0.114,0,6.551,6.574,0.096,6.559,6.589,0,3.50,3.62,6.03,2.855,2.831,2.839,11.247,11.186,11.215,0.195,0.194,0.195,1280000
