num_queries,target_len,query_len,k,search_median_ms,search_mean_ms,search_std_ms,search_ci_lower_ms,search_ci_upper_ms,search_n_matches,tiling_median_ms,tiling_mean_ms,tiling_std_ms,tiling_ci_lower_ms,tiling_ci_upper_ms,tiling_n_matches,edlib_median_ms,edlib_mean_ms,edlib_std_ms,edlib_ci_lower_ms,edlib_ci_upper_ms,edlib_n_matches,search_ipc,tiling_ipc,edlib_ipc,search_throughput_gbps,search_ci_lower_throughput_gbps,search_ci_upper_throughput_gbps,tiling_throughput_gbps,tiling_ci_lower_throughput_gbps,tiling_ci_upper_throughput_gbps,edlib_throughput_gbps,edlib_ci_lower_throughput_gbps,edlib_ci_upper_throughput_gbps,throughput_bytes
1,100000,23,3,0.048,0.048,0.001,0.048,0.048,0,0.424,0.425,0.014,0.424,0.425,0,0.451,0.462,0.025,0.461,0.463,0,3.58,4.02,6.32,2.105,2.084,2.085,0.236,0.235,0.236,0.222,0.216,0.217,100000
2,100000,23,3,0.097,0.097,0.006,0.097,0.098,0,0.423,0.424,0.014,0.423,0.424,0,0.909,0.926,0.040,0.924,0.928,0,3.52,4.03,6.33,2.070,2.051,2.056,0.473,0.472,0.473,0.220,0.215,0.217,200000
4,100000,23,3,0.201,0.202,0.010,0.202,0.202,0,0.425,0.426,0.003,0.425,0.426,0,1.838,1.852,0.059,1.847,1.857,0,3.47,4.02,6.32,1.994,1.979,1.985,0.942,0.940,0.940,0.218,0.215,0.217,400000
8,100000,23,3,0.416,0.418,0.015,0.418,0.419,0,0.431,0.432,0.015,0.431,0.432,0,3.652,3.684,0.082,3.674,3.694,0,3.34,3.99,6.27,1.924,1.910,1.916,1.858,1.851,1.856,0.219,0.217,0.218,800000
16,100000,23,3,0.833,0.838,0.020,0.837,0.839,0,0.434,0.435,0.014,0.435,0.436,0,7.359,7.402,0.135,7.380,7.425,0,3.30,3.98,6.29,1.920,1.907,1.912,3.685,3.672,3.682,0.217,0.215,0.217,1600000
32,100000,23,3,1.690,1.692,0.029,1.690,1.695,0,0.439,0.440,0.014,0.439,0.441,0,14.749,14.767,0.163,14.728,14.806,0,3.27,3.95,6.24,1.894,1.888,1.893,7.293,7.264,7.283,0.217,0.216,0.217,3200000
48,100000,23,3,2.539,2.538,0.036,2.535,2.542,0,0.730,0.731,0.005,0.731,0.732,0,22.215,22.242,0.232,22.174,22.310,0,3.27,3.98,6.25,1.891,1.889,1.894,6.577,6.562,6.566,0.216,0.215,0.216,4800000
64,100000,23,3,3.397,3.397,0.038,3.392,3.401,0,0.740,0.749,0.024,0.748,0.751,0,29.567,29.572,0.216,29.500,29.645,0,3.26,3.95,6.25,1.884,1.882,1.887,8.647,8.525,8.555,0.216,0.216,0.217,6400000
96,100000,23,3,5.085,5.090,0.054,5.082,5.097,0,1.177,1.190,0.031,1.188,1.192,0,44.261,44.280,0.199,44.198,44.361,0,3.26,3.96,6.24,1.888,1.883,1.889,8.153,8.054,8.083,0.217,0.216,0.217,9600000
128,100000,23,3,6.793,6.791,0.015,6.789,6.794,0,1.474,1.479,0.028,1.476,1.481,0,59.105,59.126,0.415,58.929,59.323,0,3.26,3.96,6.24,1.884,1.884,1.885,8.684,8.645,8.670,0.217,0.216,0.217,12800000
