query_len,target_len,k,algorithm,median_ms,mean_ms,std_ms,ci_lower_ms,ci_upper_ms,throughput_gbps,ci_lower_throughput_gbps,ci_upper_throughput_gbps,total_bytes
23,1000,4,sassy_search,0.112,0.113,0.002,0.113,0.113,1.140,1.130,1.138,128000
23,1000,4,sassy_patterns,0.087,0.087,0.001,0.087,0.088,1.470,1.460,1.467,128000
23,1000,4,sassy_tiling,0.030,0.030,0.001,0.030,0.030,4.315,4.254,4.337,128000
23,1000,4,edlib,1.777,1.782,0.017,1.779,1.786,0.072,0.072,0.072,128000
23,10000,0,sassy_search,0.542,0.541,0.004,0.540,0.542,2.363,2.363,2.370,1280000
23,10000,0,sassy_patterns,0.526,0.527,0.003,0.526,0.527,2.432,2.427,2.432,1280000
23,10000,0,sassy_tiling,0.330,0.331,0.009,0.330,0.333,3.883,3.840,3.882,1280000
23,10000,0,edlib,8.006,8.008,0.039,8.001,8.016,0.160,0.160,0.160,1280000
23,10000,3,sassy_search,0.782,0.782,0.003,0.782,0.783,1.637,1.635,1.637,1280000
23,10000,3,sassy_patterns,0.769,0.770,0.004,0.769,0.770,1.664,1.662,1.665,1280000
23,10000,3,sassy_tiling,0.193,0.194,0.003,0.193,0.195,6.619,6.579,6.616,1280000
23,10000,3,edlib,8.031,8.034,0.041,8.026,8.042,0.159,0.159,0.159,1280000
23,10000,4,sassy_search,0.773,0.774,0.003,0.773,0.774,1.655,1.653,1.656,1280000
23,10000,4,sassy_patterns,0.763,0.764,0.003,0.763,0.764,1.677,1.675,1.678,1280000
23,10000,4,sassy_tiling,0.297,0.297,0.003,0.297,0.298,4.310,4.302,4.317,1280000
23,10000,4,edlib,8.032,8.033,0.037,8.025,8.040,0.159,0.159,0.159,1280000
